date,open,high,low,close,volume
2025-08-21,637.76,646.5,637.25,645.31,84083214.0
2025-08-24,644.04,645.29,642.35,642.47,51274332.0
2025-08-25,642.2,645.51,641.57,645.16,51581565.0
2025-08-26,644.57,647.37,644.42,646.63,48341069.0
2025-08-27,647.24,649.48,645.34,648.92,61519461.0
2025-08-28,647.47,647.84,643.14,645.05,74522192.0
2025-09-01,637.5,640.49,634.92,640.27,81983545.0
2025-09-02,642.67,644.21,640.46,643.74,70820898.0
2025-09-03,644.42,649.15,643.51,649.12,65219228.0
2025-09-04,651.48,652.21,643.33,647.24,85178935.0
2025-09-07,648.62,649.84,647.23,648.83,63133104.0
2025-09-08,648.97,650.86,647.22,650.33,66133856.0
2025-09-09,653.62,654.55,650.63,652.21,78034529.0
2025-09-10,654.18,658.33,653.59,657.63,69934360.0
2025-09-11,657.6,659.11,656.9,657.41,72780135.0
2025-09-14,659.64,661.04,659.34,660.91,63772412.0
2025-09-15,661.47,661.78,659.21,660.0,61168953.0
2025-09-16,660.01,661.72,654.3,659.18,101952244.0
2025-09-17,661.89,664.89,660.27,662.26,90459242.0
2025-09-18,662.33,664.55,660.37,663.7,97945620.0
2025-09-21,662.2,667.29,662.17,666.84,69452201.0
2025-09-22,666.72,667.34,661.98,663.21,81708872.0
2025-09-23,664.51,664.61,659.67,661.1,68082229.0
2025-09-24,657.94,659.4056,654.405,658.05,89622067.0
2025-09-25,659.51,662.37,657.88,661.82,69179209.0
2025-09-28,664.36,665.28,661.86,663.68,73499015.0
2025-09-29,662.93,666.65,661.61,666.18,86288028.0
2025-09-30,663.17,669.37,663.06,668.45,72545369.0
2025-10-01,670.45,670.565,666.78,669.22,56895993.0
2025-10-02,669.99,672.675,668.16,669.21,70494350.0
2025-10-05,671.62,672.51,669.455,671.61,54623260.0
2025-10-06,672.54,672.99,667.67,669.12,72020067.0
2025-10-07,670.25,673.2056,669.42,673.11,60702241.0
2025-10-08,673.53,673.94,669.21,671.16,66501941.0
2025-10-09,672.13,673.95,652.84,653.02,159422589.0
2025-10-12,660.65,665.13,659.7679,663.04,79560517.0
2025-10-13,657.17,665.83,653.17,662.23,88779560.0
2025-10-14,666.82,670.23,658.93,665.17,81702555.0
2025-10-15,666.82,668.71,657.11,660.64,110563346.0
2025-10-16,659.5,665.755,658.14,664.39,96500870.0
2025-10-19,667.32,672.21,667.27,671.3,60492650.0
2025-10-20,671.44,672.99,669.981,671.29,56249034.0
2025-10-21,672.0,672.0,663.3,667.8,80564006.0
2025-10-22,668.12,672.7101,667.8,671.76,65604461.0
2025-10-23,676.46,678.47,675.65,677.25,74356527.0
2025-10-26,682.73,685.54,682.115,685.24,63293828.0
2025-10-27,687.05,688.905,684.83,687.06,61737972.0
2025-10-28,688.72,689.7,682.87,687.39,85340645.0
2025-10-29,683.9,685.94,679.83,679.83,76335751.0
2025-10-30,685.04,685.08,679.24,682.06,87164122.0
2025-11-02,685.67,685.8,679.94,683.34,57315025.0
2025-11-03,676.11,679.96,674.58,675.24,78426969.0
2025-11-04,674.98,680.86,674.17,677.58,74262241.0
2025-11-05,677.58,677.58,677.58,677.58,139935.0
2025-11-06,667.91,671.08,661.205,670.97,100563537.0
