Date,open,high,low,close,volume,vwap,transactions,otc
2025-04-01,557.45,562.94,553.68,560.97,54609641.0,559.1039,603801,
2025-04-02,555.05,567.42,554.81,564.52,76014544.0,560.9114,686536,
2025-04-03,545.11,547.97,536.7,536.7,125985998.0,543.253,1198725,
2025-04-04,523.67,525.87,505.06,505.28,217965131.0,514.9707,1957428,
2025-04-07,489.19,523.17,481.8,504.38,256611355.0,501.175,2517692,
2025-04-08,521.86,524.98,489.16,496.48,165816581.0,507.1006,1708703,
2025-04-09,493.44,548.62,493.05,548.62,241867317.0,521.8208,2299203,
2025-04-10,532.17,533.495,509.32,524.58,162331225.0,524.4525,1754794,
2025-04-11,523.01,536.43,520.07,533.94,97866334.0,529.4274,1019118,
2025-04-14,544.05,544.28,533.86,539.12,68033993.0,539.5603,752545,
2025-04-15,539.675,543.23,536.81,537.61,56892874.0,539.2414,547009,
2025-04-16,531.68,537.8854,520.29,525.66,83484814.0,527.9444,770794,
2025-04-17,527.64,531.165,523.91,526.41,79868083.0,527.5729,633853,
2025-04-21,521.16,521.7,508.46,513.88,69368129.0,513.9928,715706,
2025-04-22,520.14,529.305,519.1925,527.25,75948117.0,525.0503,712401,
2025-04-23,540.43,545.43,533.88,535.42,90590658.0,538.5305,885537,
2025-04-24,536.715,547.43,535.4504,546.69,64150418.0,543.4085,580937,
2025-04-25,546.65,551.05,543.69,550.64,61119590.0,548.3488,562252,
2025-04-28,551.39,553.55,545.02,550.85,47613755.0,549.7272,472025,
2025-04-29,548.91,555.45,548.55,554.32,47775121.0,552.8584,474829,
2025-04-30,547.57,556.52,541.52,554.54,93101463.0,551.0277,707090,
2025-05-01,560.37,564.0699,557.86,558.47,63186146.0,560.0677,585865,
2025-05-02,564.73,568.38,562.38,566.76,60717270.0,565.9279,571476,
2025-05-05,562.57,566.65,561.7,563.51,38659222.0,564.3939,414698,
2025-05-06,557.93,563.3476,556.96,558.8,48264708.0,560.063,473580,
2025-05-07,560.15,563.82,556.04,561.15,55733229.0,560.1667,531073,
2025-05-08,565.24,570.31,561.7,565.06,65130787.0,566.2262,601131,
2025-05-09,566.48,567.5,562.7637,564.34,37603427.0,564.8133,422432,
2025-05-12,581.47,583.0,577.04,582.99,78993570.0,579.7482,733762,
2025-05-13,583.41,589.08,582.84,586.84,67947225.0,586.9132,682785,
2025-05-14,587.81,588.98,585.535,587.59,66283531.0,587.3875,676301,
2025-05-15,585.56,590.97,585.0969,590.46,71268145.0,588.6247,737359,
2025-05-16,591.25,594.5,589.28,594.2,76052101.0,592.4173,645314,
2025-05-19,588.1,595.54,588.1,594.85,68168509.0,593.1807,662361,
2025-05-20,593.09,594.05,589.6,592.85,60614492.0,592.5641,632002,
2025-05-21,588.44,592.58,581.82,582.86,95197657.0,587.028,1066364,
2025-05-22,582.66,586.62,581.405,583.09,70860417.0,583.9339,844277,
2025-05-23,575.98,581.8101,575.6,579.11,76029046.0,578.8343,877472,
2025-05-27,586.07,591.31,578.43,591.15,72588475.0,588.5785,830952,
2025-05-28,591.56,592.7688,586.985,587.73,68445512.0,589.7912,731933,
2025-05-29,593.06,593.2,586.07,590.05,70073758.0,589.7108,826143,
2025-05-30,588.93,591.1299,583.235,589.39,90601242.0,588.238,884337,
