symbol,expiration_date,strike_price,type,underlying_ticker,exercise_style,primary_exchange
O:AAPL251121P00195000,2025-11-21,195.0,put,AAPL,american,BATO
O:AAPL251121P00200000,2025-11-21,200.0,put,AAPL,american,BATO
O:AAPL251121P00205000,2025-11-21,205.0,put,AAPL,american,BATO
O:AAPL251121P00210000,2025-11-21,210.0,put,AAPL,american,BATO
O:AAPL251121P00215000,2025-11-21,215.0,put,AAPL,american,BATO
O:AAPL251121P00220000,2025-11-21,220.0,put,AAPL,american,BATO
O:AAPL251121P00225000,2025-11-21,225.0,put,AAPL,american,BATO
O:AAPL251121P00227500,2025-11-21,227.5,put,AAPL,american,BATO
O:AAPL251121P00230000,2025-11-21,230.0,put,AAPL,american,BATO
O:AAPL251121P00232500,2025-11-21,232.5,put,AAPL,american,BATO
O:AAPL251121P00235000,2025-11-21,235.0,put,AAPL,american,BATO
O:AAPL251121P00237500,2025-11-21,237.5,put,AAPL,american,BATO
O:AAPL251121P00240000,2025-11-21,240.0,put,AAPL,american,BATO
O:AAPL251121P00242500,2025-11-21,242.5,put,AAPL,american,BATO
O:AAPL251121P00245000,2025-11-21,245.0,put,AAPL,american,BATO
O:AAPL251121P00247500,2025-11-21,247.5,put,AAPL,american,BATO
O:AAPL251121P00250000,2025-11-21,250.0,put,AAPL,american,BATO
O:AAPL251121P00252500,2025-11-21,252.5,put,AAPL,american,BATO
O:AAPL251121P00255000,2025-11-21,255.0,put,AAPL,american,BATO
O:AAPL251121P00257500,2025-11-21,257.5,put,AAPL,american,BATO
O:AAPL251121P00260000,2025-11-21,260.0,put,AAPL,american,BATO
O:AAPL251121P00262500,2025-11-21,262.5,put,AAPL,american,BATO
O:AAPL251121P00265000,2025-11-21,265.0,put,AAPL,american,BATO
O:AAPL251121P00267500,2025-11-21,267.5,put,AAPL,american,BATO
O:AAPL251121P00270000,2025-11-21,270.0,put,AAPL,american,BATO
O:AAPL251121P00272500,2025-11-21,272.5,put,AAPL,american,BATO
O:AAPL251121P00275000,2025-11-21,275.0,put,AAPL,american,BATO
